channel_id,channel_audience_age,channel_educational_topic,channel_language
UCiKUKTMbojTIPGWPR_eec9w,Adults,Music,English
UCDom90xOqP4avehFjSJO6NA,Kids,Natural Sciences,English
UCpJmBQ8iNHXeQ7jQWDyGe3A,Adults,Natural Sciences,English
UC4rlAVgAK0SGk-yTfe48Qpw,Adults,Natural Sciences,English
UC295-Dw_tDNtZXFeAPAW6Aw,Adults,DIY,English
UCbmNph6atAoGfqLoCL_duAg,Adults,Social Sciences,English
UC2ri4rEb8abnNwXvTjg5ARw,Kids,Natural Sciences,English
UCsXVk37bltHxD1rDPwtNM8Q,Adults,Natural Sciences,German
UCsYMk_FCTGBxmwKFiCynFwg,Adults,Language,German
UCCAI6jmeW5hWz2-jaLPqLUQ,Adults,Language,German
UCnf0fDz1vTYW-sl36wbVMbg,Adults,Social Sciences,French
UCKjDY4joMPcoRMmd-G1yz1Q,Adults,Social Sciences,French
UCCGRtSqLfljpX9mzCYDsQIg,Adults,Social Sciences,French
UCpVm7bg6pXKo1Pr6k5kxG9A,Adults,Natural Sciences,English
UCajXeitgFL-rb5-gXI-aG8Q,Adults,Social Sciences,English
UCW39zufHfsuGgpLviKh297Q,Adults,Social Sciences,English
UC7IcJI8PUf5Z3zKxnZvTBog,Adults,Social Sciences,English
UCIxAaCJ84uefATKmazDyIjw,Adults,DIY,English
UC6E2mP01ZLH_kbAyeazCNdg,Adults,Natural Sciences,English
UCUHW94eEFW7hkUMVaZz4eDg, Adults, Natural Sciences, English
UCoxcjq-8xIDTYp3uz647V5A, Adults, Natural Sciences, English
UCEIwxahdLz7bap-VDs9h35A, Adults, Natural Sciences, English
UCHnyfMqiRRG1u-2MsSQLbXA, Adults, Natural Sciences, English
UCZYTClx2T1of7BRZ86-8fow, Adults, Natural Sciences, English
UC7DdEm33SyaTDtWYGO2CwdA, Adults, Natural Sciences, English
UCC552Sd-3nyi_tk2BudLUzA, Adults, Natural Sciences, English
UC6107grRI4m0o2-emgoDnAA, Adults, Natural Sciences, English
UCzR-rom72PHN9Zg7RML9EbA, Adults, Natural Sciences, English
UCH4BNI0-FOK2dMXoFtViWHw, Adults, Natural Sciences, English
UCt_t6FwNsqr3WWoL6dFqG9w, Adults, Natural Sciences, English
UC-3SbfTPJsL8fJAPKiVqBLg, Adults, Natural Sciences, English
UCBbnbBWJtwsf0jLGUwX5Q3g, Adults, Natural Sciences, English
UC7_gcs09iThXybpVgjHZ_7g, Adults, Natural Sciences, English
UCX6b17PVsYBQ0ip5gyeme-Q, Adults, Natural Sciences, English
UCeiYXex_fwgYDonaTcSIk6w, Adults, Natural Sciences, English
UC8VkNBOwvsTlFjoSnNSMmxw, Adults, Natural Sciences, English
UC06E4Y_-ybJgBUMtXx8uNNw, Adults, Natural Sciences, English
UC4v2tQ8GqP0RbmAzhp4IFkQ, Adults, DIY, English
UC6pdMJwtkbCNoQRwbaNt77A, Adults, DIY, English
UCtaykeSsGhtn2o2BsPm-rsw, Adults, DIY, English
UCHYSw4XKO_q1GaChw5pxa-w, Adults, DIY, English
UCIrtu3uSwehD0pfmfMsHhUA, Adults, DIY, English
UC6x7GwJxuoABSosgVXDYtTw, Adults, DIY, English
UCNepEAWZH0TBu7dkxIbluDw, Adults, DIY, English
UCRqEfb8TRJ-WA597UT2kP6w, Adults, DIY, English
UCbP0hjFiW9CEnL9HpSPbK_Q, Adults, DIY, English
UCFwdmgEXDNlEX8AzDYWXQEg, Adults, DIY, English
UCrVpMA8a0KP9io6ejOwhWbA, Adults, DIY, English
UCap97Ue8K_BpKlrvQRYd6JA, Adults, DIY, English
UCnorhjQR4zJkT7AVNhu395Q, Adults, DIY, English
UCJA8OyDxRY-wm0ya2gtHOsw, Adults, DIY, English
UCO7iqpYcqmeRz0my_who9kQ, Adults, DIY, English
UCDxcRZ2QzMDKE7tmc0c6D4Q, Adults, DIY, English
UCzNAswnSN0rZy79clU-DRPg, Adults, DIY, English
UCv7tyVGWpJMiPIQXBHQ308Q, Adults, DIY, English
UC5R0wgIYygsLVRwaKtSSGVA, Adults, DIY, English
UCvQECJukTDE2i6aCoMnS-Vg, Adults, Social Sciences, English
UCRlICXvO4XR4HMeEB9JjDlA, Adults, Social Sciences, English
UCmGSJVG3mCRXVOP4yZrU1Dw, Adults, Social Sciences, English
UC2C_jShtL725hvbm1arSV9w, Adults, Social Sciences, English
UC8XjmAEDVZSCQjI150cb4QA, Adults, Social Sciences, English
UClfEht64_NrzHf8Y0slKEjw, Adults, Social Sciences, English
UCmmPgObSUPw1HL2lq6H4ffA, Adults, Social Sciences, English
UCP5tjEmvPItGyLhmjdwP7Ww, Adults, Social Sciences, English
UCNvsIonJdJ5E4EXMa65VYpA, Adults, Social Sciences, English
